item_id,item_name,quantity,price_copper,created,purchased,time_to_fill_hours
27328,Ebonblade,1,4347,2025-12-14T19:48:47+00:00,2025-12-15T11:06:04+00:00,15.29
24575,Superior Sigil of Bloodlust,1,1278,2025-12-14T15:24:09+00:00,2025-12-15T11:05:16+00:00,19.69
25990,Serpentstone,1,2298,2025-12-13T12:25:03+00:00,2025-12-15T11:00:56+00:00,46.6
27485,Deathwish,1,2345,2025-12-14T15:26:26+00:00,2025-12-15T10:58:42+00:00,19.54
25990,Serpentstone,1,2298,2025-12-13T12:25:03+00:00,2025-12-15T10:44:09+00:00,46.32
27791,Éibhear Finn,1,1959,2025-12-14T19:43:23+00:00,2025-12-15T10:43:20+00:00,15.0
24575,Superior Sigil of Bloodlust,2,1278,2025-12-14T15:24:09+00:00,2025-12-15T10:36:29+00:00,19.21
27485,Deathwish,1,2345,2025-12-14T15:26:26+00:00,2025-12-15T10:35:25+00:00,19.15
26152,Usoku's Needle,2,6489,2025-12-14T15:25:06+00:00,2025-12-15T10:21:01+00:00,18.93
27791,Éibhear Finn,1,1959,2025-12-14T19:43:23+00:00,2025-12-15T10:19:22+00:00,14.6
24575,Superior Sigil of Bloodlust,1,1278,2025-12-14T15:24:09+00:00,2025-12-15T10:18:53+00:00,18.91
25990,Serpentstone,1,2298,2025-12-13T12:25:03+00:00,2025-12-15T10:12:05+00:00,45.78
97481,Unity,7,2217,2025-12-14T19:37:38+00:00,2025-12-15T10:11:01+00:00,14.56
97270,Saltspray Axe,1,2532,2025-12-13T22:28:33+00:00,2025-12-15T10:10:34+00:00,35.7
24575,Superior Sigil of Bloodlust,1,1278,2025-12-14T15:24:09+00:00,2025-12-15T10:07:39+00:00,18.73
26152,Usoku's Needle,1,6489,2025-12-14T15:25:06+00:00,2025-12-15T10:03:01+00:00,18.63
26152,Usoku's Needle,1,6489,2025-12-14T15:25:06+00:00,2025-12-15T09:56:23+00:00,18.52
24575,Superior Sigil of Bloodlust,1,1278,2025-12-14T15:24:09+00:00,2025-12-15T09:30:21+00:00,18.1
25990,Serpentstone,1,2298,2025-12-13T12:25:03+00:00,2025-12-15T09:29:41+00:00,45.08
27485,Deathwish,1,2345,2025-12-14T15:26:26+00:00,2025-12-15T09:29:30+00:00,18.05
27485,Deathwish,1,2345,2025-12-14T15:26:26+00:00,2025-12-15T09:27:23+00:00,18.02
97270,Saltspray Axe,1,2532,2025-12-13T22:28:33+00:00,2025-12-15T09:18:39+00:00,34.84
44976,Impaler,1,6610,2025-12-14T15:23:38+00:00,2025-12-15T09:17:43+00:00,17.9
24575,Superior Sigil of Bloodlust,1,1278,2025-12-14T15:24:09+00:00,2025-12-15T09:10:42+00:00,17.78
20372,Demure Dye,1,406,2025-12-08T18:27:49+00:00,2025-12-15T09:09:08+00:00,158.69
20372,Demure Dye,1,406,2025-12-08T18:27:49+00:00,2025-12-15T08:59:14+00:00,158.52
97270,Saltspray Axe,2,2532,2025-12-13T22:28:33+00:00,2025-12-15T08:56:13+00:00,34.46
27791,Éibhear Finn,1,1959,2025-12-14T19:43:23+00:00,2025-12-15T08:53:19+00:00,13.17
44976,Impaler,1,6610,2025-12-14T15:23:38+00:00,2025-12-15T08:36:29+00:00,17.21
44975,Shiverstone,1,2772,2025-12-08T18:23:29+00:00,2025-12-15T08:29:05+00:00,158.09
27485,Deathwish,1,2345,2025-12-14T15:26:26+00:00,2025-12-15T08:21:43+00:00,16.92
96760,Spindrift Hammer,1,2546,2025-12-10T18:29:48+00:00,2025-12-15T08:18:14+00:00,109.81
102135,Mist-Infused Master Tuning Crystal,5,1442,2025-12-14T19:45:02+00:00,2025-12-15T08:17:22+00:00,12.54
44976,Impaler,1,6610,2025-12-14T15:23:38+00:00,2025-12-15T08:14:08+00:00,16.84
20530,Sage Dye,1,1486,2025-12-08T18:31:40+00:00,2025-12-15T08:07:37+00:00,157.6
24575,Superior Sigil of Bloodlust,1,1278,2025-12-14T15:24:09+00:00,2025-12-15T08:06:25+00:00,16.7
24575,Superior Sigil of Bloodlust,1,1278,2025-12-14T15:24:09+00:00,2025-12-15T07:26:27+00:00,16.04
24575,Superior Sigil of Bloodlust,1,1278,2025-12-14T15:24:09+00:00,2025-12-15T07:18:02+00:00,15.9
101162,Grieving Consecrated Saryx Axe,1,82619,2025-12-10T16:56:41+00:00,2025-12-15T07:16:16+00:00,110.33
101271,Grieving Consecrated Saryx Dagger,4,83891,2025-12-10T16:57:51+00:00,2025-12-15T07:14:21+00:00,110.28
24575,Superior Sigil of Bloodlust,1,1278,2025-12-14T15:24:09+00:00,2025-12-15T07:09:46+00:00,15.76
102135,Mist-Infused Master Tuning Crystal,2,1442,2025-12-14T19:45:02+00:00,2025-12-15T06:55:39+00:00,11.18
20372,Demure Dye,1,406,2025-12-08T18:27:49+00:00,2025-12-15T06:55:09+00:00,156.46
72392,Recipe: Svaard's Shoulderguard,1,234,2025-11-22T10:52:44+00:00,2025-12-15T06:50:02+00:00,547.96
27485,Deathwish,1,2345,2025-12-14T15:26:26+00:00,2025-12-15T06:42:07+00:00,15.26
44976,Impaler,1,6610,2025-12-14T15:23:38+00:00,2025-12-15T06:27:57+00:00,15.07
100048,Relic of the Ice,1,100104,2025-12-11T10:01:39+00:00,2025-12-15T06:15:06+00:00,92.22
44977,Cobalt,1,3240,2025-12-14T19:48:22+00:00,2025-12-15T06:14:18+00:00,10.43
24575,Superior Sigil of Bloodlust,1,1278,2025-12-14T15:24:09+00:00,2025-12-15T06:07:55+00:00,14.73
44977,Cobalt,1,3240,2025-12-14T19:48:22+00:00,2025-12-15T06:07:26+00:00,10.32
