Item ID,Item Name,Item Amount,Your Sell Price,Buy Price,Sell Price
96542,Spindrift Dagger,8,4263,2338,4263
70772,Recipe: Svaard's Masque,1,3190,24,3191
20372,Demure Dye,5,1098,406,1098
27485,Deathwish,7,4599,2345,4099
44986,Komalie's Sacrificial Blade,1,634299,560000,634300
99653,Xunlai Deep-Mining Hand Drill,2,6494,3500,6496
38460,Toy Sword Skin,500,317,201,324
47096,Crystalline Blade,5,4676,2472,4659
25990,Serpentstone,11,5079,2298,5076
73586,Recipe: Svaard's Guise,1,3090,495,2407
97270,Saltspray Axe,8,4347,2532,4347
43358,Kralkachocolate Bar,1,59,37,57
101257,Grieving Consecrated Saryx Warhorn,1,143258,83268,143259
27020,Adam,11,4971,2148,4962
2135,Brutus' Pauldrons,1,2704,1724,2598
96051,Saltspray's Voice,4,4273,2806,4275
100868,Viper's Abomination Focus,1,10232,4058,10031
104,Norgu's Coat,6,2814,1976,4999
96760,Spindrift Hammer,5,3853,2546,3853
86170,Superior Sigil of the Stars,12,3311,2482,3313
99719,Repurposed Drill Leveler,2,7412,3999,7011
1641,Brutus' Helm,3,2674,1787,2672
24551,Superior Sigil of Water,54,980,681,780
24575,Superior Sigil of Bloodlust,29,1774,1278,1689
96051,Saltspray's Voice,3,4272,2806,4275
44975,Shiverstone,9,3264,2773,3267
27020,Adam,9,4970,2148,4962
99293,Jolly Wintersday Gift,3,7974,6607,7703
25990,Serpentstone,3,5078,2298,5076
1644,Koss' Helm,1,2790,1892,2590
26152,Usoku's Needle,12,9985,6489,9992
96542,Spindrift Dagger,1,4262,2338,4263
848,Koss' Greaves,6,2286,1899,2595
96992,Recycler: Jade Slivers,2,43646,29620,43646
100054,Viper's Abomination Torch,1,71102,50252,71108
101968,Berserker's Serpent's Wrath Rifle,1,10609,5714,10509
44976,Impaler,1,9503,6610,10089
97676,Spindrift Axe,55,5073,2140,5200
26152,Usoku's Needle,10,9986,6489,9992
47096,Crystalline Blade,14,4262,2472,4659
47096,Crystalline Blade,2,4264,2472,4659
47096,Crystalline Blade,8,4263,2472,4659
47096,Crystalline Blade,3,4265,2472,4659
47096,Crystalline Blade,41,4269,2472,4659
24605,Superior Sigil of Geomancy,30,565,390,547
97218,Spindrift Mace,1,4928,2102,5028
646,Nika's Pauldrons,24,17274,12001,17489
100456,Sinister Saryx Greatsword,1,2175,1465,1988
87029,Avocado Smoothie,5,1346,820,936
100659,Relic of the Water,1,149994,101015,149999
87076,Bowl of Poultry Satay,1,17181,14017,14018
20372,Demure Dye,1,1000,406,1098
24551,Superior Sigil of Water,2,978,681,780
24667,Superior Sigil of Wrath,18,807,318,953
24667,Superior Sigil of Wrath,3,839,318,953
24667,Superior Sigil of Wrath,1,844,318,953
24555,Superior Sigil of Ice,1,783,426,494
95923,Jade Assistant: Gliding Booster 1,4,99995,69020,99997
44976,Impaler,6,9502,6610,10089
100947,Relic of Fireworks,3,134997,111006,130000
100916,Relic of the Thief,2,140981,121281,140988
79638,Jailbroken,7,7739,4042,7741
96284,Saltspray Sword,1,4495,3175,4502
24518,Crest of the Magi,1,1160,1137,1193
93640,Berserker's Stormcaller Greatsword,1,215793,143019,212598
71630,Berserker's Lightward's Battlehammer,1,379907,217101,379909
96542,Spindrift Dagger,4,4264,2338,4263
26874,Kodanroar,1,2997,2325,2992
20372,Demure Dye,6,999,406,1098
77040,Recipe: Svaard's Striders,1,2386,204,2387
97270,Saltspray Axe,27,4339,2532,4347
26152,Usoku's Needle,13,9992,6489,9992
27020,Adam,11,4969,2148,4962
25964,Jaws of Death,3,3277,1905,2399
26151,Rampager's Iron Dagger of Debility,1,2612,1915,2699
47089,Scorchrazor's Fist,1,2684,2018,2572
24605,Superior Sigil of Geomancy,3,563,390,547
2128,Devona's Pauldrons,4,8525,5790,8825
86170,Superior Sigil of the Stars,12,3315,2482,3313
104859,Lightborne Axe,2,187998,140763,184900
104761,Lightborne Spear,2,309998,221252,313130
95582,Scavenger Protocol: Might Trophies,10,83277,66593,84081
26395,Anura,9,3243,2149,3225
26152,Usoku's Needle,11,9988,6489,9992
100173,Viper's Abomination Pistol,5,71171,44775,71281
24597,Superior Sigil of Hydromancy,1,1375,958,1380
96477,Mount Energy Booster 1,6,4250,2853,4346
2348,Honed Banded Pauldrons of the Citadel,1,3078,229,3177
96299,Jade Bot Core: Tier 8,1,239999,184478,250000
9334,Tiny Thorned Bag,4,221,199,240
24605,Superior Sigil of Geomancy,150,561,390,547
576,Zhed's Boots,14,19869,13491,19999
104761,Lightborne Spear,2,299899,221252,313130
26152,Usoku's Needle,7,9983,6489,9992
26152,Usoku's Needle,5,9982,6489,9992
26693,Ruinmaker,1,5697,5696,5709
47096,Crystalline Blade,2,4063,2472,4659
36065,Recipe: Superior Sigil of the Night,1,24,6,28
36065,Recipe: Superior Sigil of the Night,8,25,6,28
96871,Skiff Supercharger 1,1,60788,21124,60791
25990,Serpentstone,4,5082,2298,5076
20316,Black Lion Chest,1,104,58,88
24584,Superior Sigil of Benevolence,3,1243,555,1243
44964,Entropy,5,13081,9628,14059
25990,Serpentstone,1,5081,2298,5076
24839,Superior Rune of the Water,1,57955,46054,55684
96477,Mount Energy Booster 1,2,4477,2853,4346
44969,Lord Taeres's Shadow,1,51871,35376,49999
101981,Berserker's Serpent's Wrath Shield,1,8044,3133,8644
49426,+3 Agony Infusion,1,660,518,600
46684,Shaman's Orichalcum Imbued Inscription,1,128,,129
24839,Superior Rune of the Water,1,57999,46054,55684
79638,Jailbroken,4,7738,4042,7741
101997,Berserker's Serpent's Wrath Greatsword,1,26827,17376,26825
2539,Zhed's Leggings,2,16496,10015,17303
44976,Impaler,5,10102,6610,10089
86170,Superior Sigil of the Stars,24,3317,2482,3313
12147,Mushroom,156,244,208,229
100054,Viper's Abomination Torch,8,70901,50252,71108
26395,Anura,4,3246,2149,3225
24551,Superior Sigil of Water,31,944,681,780
24678,Superior Sigil of Justice,8,3942,2109,3291
24567,Superior Sigil of Frailty,65,1566,1003,1559
49430,+7 Agony Infusion,22,13597,10708,13715
101214,Grieving Consecrated Saryx Sword,1,133395,75095,146324
44964,Entropy,4,13077,9628,14059
96477,Mount Energy Booster 1,6,4475,2853,4346
24575,Superior Sigil of Bloodlust,23,1757,1278,1689
44969,Lord Taeres's Shadow,2,51873,35376,49999
100542,Relic of the Cavalier,1,144998,97917,149699
24567,Superior Sigil of Frailty,51,1565,1003,1559
24612,Superior Sigil of Agony,42,1994,1240,1889
87076,Bowl of Poultry Satay,1,16793,14017,14018
24618,Superior Sigil of Accuracy,44,5997,4811,5899
101996,Berserker's Serpent's Wrath Spear,6,51650,32702,51547
48737,Haunting Cap of Dreams,1,49926,30061,49928
96467,Jade Bot Core: Tier 6,2,149699,119596,148999
571,Berserker's Seer Boots of the Dolyak,9,2869,2033,2830
571,Berserker's Seer Boots of the Dolyak,1,2984,2033,2830
571,Berserker's Seer Boots of the Dolyak,17,2985,2033,2830
72832,Recipe: Svaard's Visage,4,6291,890,6291
26152,Usoku's Needle,11,9990,6489,9992
96760,Spindrift Hammer,6,3856,2546,3853
24575,Superior Sigil of Bloodlust,5,1755,1278,1689
100281,Viper's Abomination Shield,3,5383,3330,5396
100794,Relic of Resistance,1,141103,111817,141106
9305,Stolen Supplies Bag,5,545,310,510
84,Zhed's Coat,4,15166,11106,15444
1858,Devona's Legplates,14,9392,6156,9391
101257,Grieving Consecrated Saryx Warhorn,1,143255,83268,143259
24533,Crest of the Shaman,2,1317,1142,1143
24533,Crest of the Shaman,1,1318,1142,1143
24533,Crest of the Shaman,2,1324,1142,1143
26366,Cleric's Iron Dagger of Agony,1,1695,1512,1612
93640,Berserker's Stormcaller Greatsword,1,215792,143019,212598
27638,Magmaton,1,2557,2111,2846
27638,Magmaton,2,2659,2111,2846
27638,Magmaton,3,2764,2111,2846
27638,Magmaton,1,2852,2111,2846
24605,Superior Sigil of Geomancy,68,560,390,547
49431,+8 Agony Infusion,2,27090,21724,27200
27634,The Punisher,1,2767,2226,2644
67181,Recipe: Superior Sigil of Cruelty,1,1357,189,1000
86170,Superior Sigil of the Stars,3,3216,2482,3313
96900,Saltspray Longbow,1,3076,2131,2996
27184,Beacon of the True Legions,1,2672,2030,2665
24560,Superior Sigil of Earth,59,1922,1501,1922
24567,Superior Sigil of Frailty,8,1560,1003,1559
100281,Viper's Abomination Shield,2,5381,3330,5396
96992,Recycler: Jade Slivers,1,43650,29620,43646
70772,Recipe: Svaard's Masque,2,3192,24,3191
73349,Recipe: Svaard's Greaves,2,2987,752,2986
