item_id,item_name,quantity,price_copper,created,purchased,time_to_fill_hours
26152,Usoku's Needle,1,9992,2025-12-12T10:10:08+00:00,2025-12-15T11:13:26+00:00,73.06
96760,Spindrift Hammer,1,3853,2025-12-14T15:04:54+00:00,2025-12-15T10:57:51+00:00,19.88
96542,Spindrift Dagger,1,4263,2025-12-14T15:05:14+00:00,2025-12-15T09:52:29+00:00,18.79
96542,Spindrift Dagger,1,4263,2025-12-14T15:05:14+00:00,2025-12-15T09:45:46+00:00,18.68
70772,Recipe: Svaard's Masque,1,3190,2025-12-14T19:36:43+00:00,2025-12-15T09:42:48+00:00,14.1
20372,Demure Dye,1,1098,2025-12-13T19:26:50+00:00,2025-12-15T09:21:13+00:00,37.91
27485,Deathwish,1,4599,2025-12-14T15:05:07+00:00,2025-12-15T08:49:36+00:00,17.74
44986,Komalie's Sacrificial Blade,1,634299,2025-12-09T14:21:17+00:00,2025-12-15T07:42:02+00:00,137.35
20372,Demure Dye,1,1098,2025-12-13T19:26:50+00:00,2025-12-15T07:23:20+00:00,35.94
27485,Deathwish,1,4599,2025-12-14T15:05:07+00:00,2025-12-15T06:31:55+00:00,15.45
27485,Deathwish,1,4599,2025-12-14T15:05:07+00:00,2025-12-15T06:25:57+00:00,15.35
99653,Xunlai Deep-Mining Hand Drill,1,6494,2025-12-14T19:37:13+00:00,2025-12-15T06:22:12+00:00,10.75
27485,Deathwish,1,4599,2025-12-14T15:05:07+00:00,2025-12-15T06:19:49+00:00,15.24
27485,Deathwish,1,4599,2025-12-14T15:05:07+00:00,2025-12-15T05:58:00+00:00,14.88
38460,Toy Sword Skin,33,317,2025-12-14T19:36:03+00:00,2025-12-15T04:42:32+00:00,9.11
38460,Toy Sword Skin,30,317,2025-12-14T19:36:03+00:00,2025-12-15T04:39:07+00:00,9.05
38460,Toy Sword Skin,150,317,2025-12-14T19:36:03+00:00,2025-12-15T04:23:12+00:00,8.79
47096,Crystalline Blade,2,4676,2025-12-14T19:34:37+00:00,2025-12-15T04:15:52+00:00,8.69
38460,Toy Sword Skin,29,317,2025-12-14T19:36:03+00:00,2025-12-15T04:11:00+00:00,8.58
38460,Toy Sword Skin,8,317,2025-12-14T19:36:03+00:00,2025-12-15T04:06:31+00:00,8.51
38460,Toy Sword Skin,19,317,2025-12-14T19:36:00+00:00,2025-12-15T04:06:31+00:00,8.51
25990,Serpentstone,1,5079,2025-12-14T15:06:17+00:00,2025-12-15T04:05:39+00:00,12.99
25990,Serpentstone,2,5079,2025-12-14T15:06:17+00:00,2025-12-15T04:05:22+00:00,12.98
25990,Serpentstone,2,5079,2025-12-14T15:06:17+00:00,2025-12-15T03:55:15+00:00,12.82
47096,Crystalline Blade,2,4676,2025-12-14T19:34:37+00:00,2025-12-15T03:33:12+00:00,7.98
38460,Toy Sword Skin,28,317,2025-12-14T19:36:00+00:00,2025-12-15T03:20:13+00:00,7.74
38460,Toy Sword Skin,3,317,2025-12-14T19:36:00+00:00,2025-12-15T03:17:42+00:00,7.7
73586,Recipe: Svaard's Guise,1,3090,2025-12-14T19:36:09+00:00,2025-12-15T03:11:58+00:00,7.6
97270,Saltspray Axe,1,4347,2025-12-04T09:42:08+00:00,2025-12-15T03:09:19+00:00,257.45
43358,Kralkachocolate Bar,1,59,2025-11-11T20:50:46+00:00,2025-12-15T03:03:58+00:00,798.22
99653,Xunlai Deep-Mining Hand Drill,1,6494,2025-12-14T19:37:13+00:00,2025-12-15T02:14:40+00:00,6.62
38460,Toy Sword Skin,1,317,2025-12-14T19:36:00+00:00,2025-12-15T02:07:23+00:00,6.52
38460,Toy Sword Skin,199,317,2025-12-14T19:36:00+00:00,2025-12-15T02:06:43+00:00,6.51
96542,Spindrift Dagger,1,4263,2025-12-14T15:05:14+00:00,2025-12-15T01:19:44+00:00,10.24
101257,Grieving Consecrated Saryx Warhorn,1,143258,2025-12-11T21:27:18+00:00,2025-12-15T01:13:39+00:00,75.77
27020,Adam,1,4971,2025-12-10T16:32:28+00:00,2025-12-15T01:12:47+00:00,104.67
27020,Adam,1,4971,2025-12-10T16:32:28+00:00,2025-12-15T01:00:32+00:00,104.47
27020,Adam,1,4971,2025-12-10T16:32:28+00:00,2025-12-15T00:58:53+00:00,104.44
27020,Adam,1,4971,2025-12-10T16:32:28+00:00,2025-12-15T00:52:22+00:00,104.33
27020,Adam,1,4971,2025-12-10T16:32:28+00:00,2025-12-15T00:46:46+00:00,104.24
25990,Serpentstone,1,5079,2025-12-14T15:06:17+00:00,2025-12-15T00:23:13+00:00,9.28
96542,Spindrift Dagger,1,4263,2025-12-14T15:05:14+00:00,2025-12-14T23:22:40+00:00,8.29
2135,Brutus' Pauldrons,1,2704,2025-12-14T19:35:48+00:00,2025-12-14T22:51:36+00:00,3.26
96051,Saltspray's Voice,1,4273,2025-12-12T19:58:54+00:00,2025-12-14T22:34:32+00:00,50.59
100868,Viper's Abomination Focus,1,10232,2025-12-09T10:55:15+00:00,2025-12-14T22:34:26+00:00,131.65
104,Norgu's Coat,6,2814,2025-12-14T19:34:54+00:00,2025-12-14T22:28:18+00:00,2.89
96760,Spindrift Hammer,1,3853,2025-12-14T15:04:54+00:00,2025-12-14T22:25:41+00:00,7.35
86170,Superior Sigil of the Stars,1,3311,2025-12-14T19:37:04+00:00,2025-12-14T22:19:03+00:00,2.7
96760,Spindrift Hammer,1,3853,2025-12-14T15:04:54+00:00,2025-12-14T22:15:26+00:00,7.18
20372,Demure Dye,1,1098,2025-12-13T19:26:50+00:00,2025-12-14T22:10:11+00:00,26.72
