item_id,item_name,quantity_bought,avg_buy_price,quantity_sold,avg_sell_price,total_volume,profit_per_item,profit_margin_pct,estimated_total_profit
75919,Fractal Encryption,4600.0,1819.3333333333333,524.0,2125.0,5124.0,305.66666666666674,16.801026016855996,160169.33333333337
36041,Piece of Candy Corn,4250.0,40.5,500.0,55.0,4750.0,14.5,35.80246913580247,7250.0
49424,+1 Agony Infusion,0.0,,2740.0,25.5,2740.0,,,
86378,Corsair Sharpening Stone,1000.0,78.0,1000.0,107.5,2000.0,29.5,37.82051282051282,29500.0
19722,Elder Wood Log,0.0,,1761.0,33.666666666666664,1761.0,,,
72339,Superior Sigil of Concentration,851.0,914.7142857142857,847.0,1535.3333333333333,1698.0,620.6190476190476,67.84840439377375,525664.3333333333
24575,Superior Sigil of Bloodlust,846.0,1189.1666666666667,759.0,1731.842105263158,1605.0,542.6754385964912,45.63493527090325,411890.6578947368
12147,Mushroom,0.0,,1574.0,331.3,1574.0,,,
38460,Toy Sword Skin,765.0,215.0,750.0,321.5,1515.0,106.5,49.53488372093023,79875.0
24560,Superior Sigil of Earth,824.0,1343.8333333333333,683.0,1963.6666666666667,1507.0,619.8333333333335,46.12427136301626,423346.16666666674
24554,Superior Sigil of Air,726.0,1323.4285714285713,673.0,2154.0,1399.0,830.5714285714287,62.75906735751297,558974.5714285715
84731,Piece of Unidentified Gear,1250.0,213.0,0.0,,1250.0,,,
89140,Lucent Mote,1000.0,107.5,209.0,139.5,1209.0,32.0,29.767441860465116,6688.0
43319,Piece of Zhaitaffy,0.0,,1165.0,91.8,1165.0,,,
24612,Superior Sigil of Agony,589.0,1528.0833333333333,482.0,2142.5714285714284,1071.0,614.4880952380952,40.212996361766606,296183.2619047619
24605,Superior Sigil of Geomancy,525.0,371.3333333333333,526.0,572.5833333333334,1051.0,201.25000000000006,54.19658886894078,105857.50000000003
87029,Avocado Smoothie,578.0,833.6,465.0,1190.7307692307693,1043.0,357.13076923076926,42.841982873172896,166065.80769230772
12335,Rosemary Sprig,0.0,,1041.0,103.0,1041.0,,,
24723,Superior Rune of the Eagle,516.0,1619.2857142857142,499.0,2581.266666666667,1015.0,961.9809523809527,59.407734156741675,480028.4952380954
